Symbol,Date,Open,High,Low,Close,Percent Change,Volume
AKPL,31/01/2022,592.6,592.6,570,579.9,-0.19,155740
AKPL,30/01/2022,551,582,551,581,7.39,185790
AKPL,27/01/2022,540,549,539,541,0.19,80899
AKPL,26/01/2022,547,555,535.2,540,-2.35,141732
AKPL,25/01/2022,558,571,540,553,-0.9,155695
AKPL,24/01/2022,585,585,550,558,-4.62,322001
AKPL,23/01/2022,604,607.9,583,585,-1.85,131384
AKPL,20/01/2022,577,598,571,596,3.11,165848
AKPL,19/01/2022,587,596,570.4,578,-1.53,193561
AKPL,18/01/2022,614.9,614.9,580,587,-2.64,211932
AKPL,17/01/2022,583.2,606,575,602.9,3.38,274580
AKPL,16/01/2022,585.4,600,578,583.2,1.6,235708
AKPL,13/01/2022,548,574.9,538.1,574,6.3,238036
AKPL,12/1/2022,554,565,540,540,-2.17,208057
AKPL,11/1/2022,557,559.9,540.2,552,0.55,142738
AKPL,10/1/2022,560,565,543,549,-1.4,204840
AKPL,9/1/2022,535,559,530,556.8,5.86,250424
AKPL,6/1/2022,514,527,509,526,2.33,118617
AKPL,5/1/2022,514,527,511,514,-0.04,120607
AKPL,4/1/2022,508,516,497.1,514.2,1.84,83363
AKPL,3/1/2022,514,515,500,504.9,-0.22,112793
AKPL,2/1/2022,493,506.9,490,506,2.64,82669
AKPL,29/12/2021,501.9,502,490,493,0,79157
AKPL,28/12/2021,497,501,472,493,1.02,93245
AKPL,27/12/2021,521,524,486.3,488,-5.43,177984
AKPL,26/12/2021,525,530,512,516,-0.79,124529
AKPL,23/12/2021,535,540,520,520.1,-1.87,152496
AKPL,22/12/2021,502,530,500,530,7.51,168665
AKPL,21/12/2021,483,494,476,493,3.79,85423
AKPL,20/12/2021,486,497,471.2,475,-2.36,84121
AKPL,16/12/2021,510,510,485.1,486.5,-3.85,108126
AKPL,15/12/2021,513,534.4,495,506,0.44,220174
AKPL,14/12/2021,467,503.8,460,503.8,10,94999
AKPL,13/12/2021,472.4,489.9,450,458,-4.98,196899
AKPL,12/12/2021,506.5,522.2,478,482,-5.86,138457
AKPL,9/12/2021,511,525.2,505,512,-1.35,116336
AKPL,8/12/2021,530,542,515,519,-3.71,134136
AKPL,7/12/2021,565.6,571,536.2,539,-3.75,118755
AKPL,6/12/2021,539,563,515,560,3.7,211539
AKPL,5/12/2021,563,574.2,538.5,540,-5.92,169159
AKPL,2/12/2021,599,599,568.1,574,-2.55,110598
AKPL,1/12/2021,580,592,580,589,1.55,90259
AKPL,30/11/2021,589.9,590,574,580,0,103984
AKPL,29/11/2021,586,605,577,580,-1.02,113827
AKPL,28/11/2021,600,610,585,586,-4.25,203824
AKPL,25/11/2021,620,624.5,610,612,-0.97,83490
AKPL,24/11/2021,615,626.2,595,618,0.32,208566
AKPL,23/11/2021,625,635,613,616,-2.69,156637
AKPL,22/11/2021,639,640.9,626,633,0.96,234581
AKPL,21/11/2021,610,635.4,603.7,627,1.79,229197
AKPL,18/11/2021,630,647.7,615,616,-2.22,164322
AKPL,17/11/2021,632.4,654,621,630,1.61,302488
AKPL,16/11/2021,624,624,610,620,0.99,122858
AKPL,15/11/2021,612,623,610,613.9,2.32,101843
AKPL,14/11/2021,597.7,615,586,600,2.39,217525
AKPL,11/11/2021,604,609.8,577,586,-4.17,213717
AKPL,9/11/2021,645,645,605,611.5,-5.49,265901
AKPL,8/11/2021,657.9,669.9,646,647,0.31,136643
AKPL,3/11/2021,612,660,612,645,7.5,337120
AKPL,2/11/2021,587,604,575.3,600,2.21,122954
AKPL,1/11/2021,616,624,586,587,-3.61,195198
AKPL,31/10/2021,579.3,614,563,609,7.22,160421
AKPL,28/10/2021,540,575,535,568,3.27,165688
AKPL,27/10/2021,552,565.5,530,550,-0.36,210701
AKPL,26/10/2021,526.2,567,523,552,7,190626
AKPL,25/10/2021,475,515.9,474,515.9,10,136864
AKPL,24/10/2021,450,472,444,469,4.22,85361
AKPL,21/10/2021,465,468,449,450,-2.17,61033
AKPL,20/10/2021,448,475,446,460,4.55,57342
AKPL,19/10/2021,464,465,432,440,-5.17,131685
AKPL,18/10/2021,475,475.3,452.1,464,-3.33,108734
AKPL,17/10/2021,485,488,466.5,480,0.84,23174
AKPL,11/10/2021,474,482.7,466.1,476,-1.24,66133
AKPL,10/10/2021,502,502,480.2,482,-2.23,80592
AKPL,6/10/2021,476,497.2,471,493,4.89,85860
AKPL,5/10/2021,462,475,455,470,3.64,67748
AKPL,4/10/2021,463,480,450,453.5,-3.92,121078
AKPL,3/10/2021,494,500,466,472,-4.45,148050
AKPL,30/09/2021,520,526,491,494,-4.08,130752
AKPL,29/09/2021,486,525,466,515,5.97,236151
